,t0_rog,t0_entropy_step,t0_contact_locs,t0_known_locs,t0_wind_instensity,t0_prop_damaged_buildings,t0_rain_intensity,t0_dist2_DTMsites,t0_dist2_mainroads,t0_dist2_urbancentres,t0_popdensity3km_2015,t0_DTM_IDPpop,t1_contact_locs,t1_known_locs,t1_wind_instensity,t1_prop_damaged_buildings,t1_rain_intensity,t1_dist2_DTMsites,t1_dist2_mainroads,t1_dist2_urbancentres,t1_popdensity3km_2015,t1_DTM_IDPpop,t1_dist_to_hl,t2_contact_locs,t2_known_locs,t2_wind_instensity,t2_prop_damaged_buildings,t2_rain_intensity,t2_dist2_DTMsites,t2_dist2_mainroads,t2_dist2_urbancentres,t2_popdensity3km_2015,t2_DTM_IDPpop,t2_dist_to_hl,t3_contact_locs,t3_known_locs,t3_wind_instensity,t3_prop_damaged_buildings,t3_rain_intensity,t3_dist2_DTMsites,t3_dist2_mainroads,t3_dist2_urbancentres,t3_popdensity3km_2015,t3_DTM_IDPpop,t3_dist_to_hl
2329,high,zero-low,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
2330,low-medium,zero-low,most,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,most,some,high,low,high,near,low-medium,low-medium,medium-high,high,low-medium,most,some,high,low,high,near,medium-high,low-medium,low-medium,high,low-medium,most,some,high,low,high,near,medium-high,zero-low,medium-high,high,low-medium
2331,low-medium,zero-low,most,some,high,low,high,near,high,low-medium,low-medium,low-medium,most,some,high,low,high,near,medium-high,low-medium,medium-high,high,low-medium,most,some,high,low,high,near,medium-high,low-medium,low-medium,high,low-medium,most,some,high,low,high,near,medium-high,low-medium,low-medium,high,zero-low
2332,medium-high,high,some,some,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,most,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,medium-high
2333,medium-high,zero-low,most,some,high,high,medium,near,high,medium-high,zero-low,low-medium,most,some,high,high,medium,near,high,low-medium,low-medium,zero-low,low-medium,zero,zero,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,most,some,high,high,medium,near,high,low-medium,low-medium,zero-low,low-medium
2334,high,low-medium,some,some,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,some,some,high,low,medium,far,zero-low,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high
2335,medium-high,high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium
2336,zero-low,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
2337,high,high,some,some,low,low,medium,no_sites,low-medium,low-medium,low-medium,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,zero-low,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,medium-high
2338,medium-high,zero-low,most,some,medium,low,high,far,zero-low,low-medium,low-medium,zero-low,most,some,medium,low,high,far,medium-high,low-medium,zero-low,zero-low,low-medium,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,most,some,medium,low,high,far,high,medium-high,zero-low,zero-low,low-medium
2339,low-medium,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium
2340,medium-high,zero-low,zero,some,high,low,medium,far,zero-low,medium-high,zero-low,zero-low,zero,some,high,low,medium,far,high,medium-high,zero-low,zero-low,medium-high,some,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,high,zero,some,high,low,medium,near,low-medium,medium-high,zero-low,zero-low,low-medium
2341,medium-high,zero-low,some,some,high,low,medium,near,medium-high,zero-low,low-medium,high,some,some,high,low,medium,near,medium-high,low-medium,medium-high,high,low-medium,some,some,high,low,medium,near,medium-high,low-medium,low-medium,high,zero-low,zero,zero,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,high
2342,medium-high,medium-high,some,some,medium,low,high,far,high,medium-high,zero-low,zero-low,zero,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium
2343,low-medium,low-medium,most,some,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,zero,zero,low,low,low,no_sites,high,medium-high,low-medium,zero-low,high,zero,zero,low,low,low,no_sites,high,medium-high,low-medium,zero-low,high
2344,high,high,most,some,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,zero,some,medium,low,high,far,high,medium-high,zero-low,zero-low,high
2345,high,low-medium,some,some,high,low,medium,near,medium-high,medium-high,zero-low,zero-low,some,some,high,low,medium,near,medium-high,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,high
2346,low-medium,low-medium,most,most,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,most,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,low-medium,most,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,low-medium,most,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,low-medium
2347,zero-low,low-medium,most,most,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,low-medium
2348,medium-high,high,zero,some,high,low,high,near,medium-high,medium-high,zero-low,zero-low,zero,some,high,low,high,near,low-medium,low-medium,medium-high,high,low-medium,zero,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,low-medium,zero,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,low-medium
2349,low-medium,medium-high,some,most,low,low,medium,no_sites,low-medium,low-medium,low-medium,zero-low,some,most,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,zero-low,some,most,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,zero-low,some,some,low,low,low,no_sites,low-medium,zero-low,low-medium,zero-low,medium-high
2350,medium-high,high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,zero-low
2351,high,medium-high,most,some,medium,low,high,far,low-medium,low-medium,low-medium,zero-low,zero,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,zero,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,high
2352,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,some,some,high,low,medium,far,zero-low,medium-high,zero-low,zero-low,high,zero,zero,low,low,low,no_sites,high,medium-high,zero-low,zero-low,high,some,some,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,high
2353,high,zero-low,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,zero-low,zero,zero,high,low,medium,near,medium-high,medium-high,low-medium,zero-low,medium-high,some,some,high,low,high,near,zero-low,medium-high,low-medium,zero-low,medium-high
2354,zero-low,zero-low,most,some,high,low,medium,near,high,medium-high,zero-low,zero-low,most,some,high,low,medium,near,medium-high,medium-high,zero-low,zero-low,low-medium,most,some,high,low,medium,near,zero-low,medium-high,zero-low,zero-low,low-medium,most,some,high,low,medium,near,zero-low,medium-high,zero-low,zero-low,low-medium
2355,zero-low,zero-low,most,most,high,low,high,near,zero-low,medium-high,low-medium,zero-low,most,most,high,low,high,near,medium-high,zero-low,medium-high,high,low-medium,most,most,high,low,high,near,medium-high,low-medium,low-medium,high,low-medium,most,most,high,low,high,near,medium-high,low-medium,low-medium,high,low-medium
2356,high,medium-high,zero,some,low,low,low,no_sites,medium-high,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,high,most,most,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,high,most,most,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,high
2357,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,low-medium,zero-low,zero-low,medium-high,most,most,low,low,medium,no_sites,high,low-medium,zero-low,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
2358,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium
2359,medium-high,zero-low,some,some,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,high,some,some,high,low,medium,near,high,medium-high,low-medium,zero-low,high,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,high
2360,low-medium,high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
2361,low-medium,low-medium,most,some,high,low,high,near,low-medium,low-medium,low-medium,high,most,some,high,low,high,near,low-medium,low-medium,medium-high,high,zero-low,zero,zero,medium,low,high,far,high,medium-high,zero-low,zero-low,high,most,some,high,low,high,near,low-medium,low-medium,low-medium,high,zero-low
2362,high,low-medium,zero,some,high,high,medium,far,high,medium-high,low-medium,zero-low,zero,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high
2363,low-medium,medium-high,most,some,low,low,medium,no_sites,zero-low,medium-high,zero-low,zero-low,zero,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,zero,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,zero,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
2364,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,low-medium
2365,low-medium,low-medium,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero,some,low,low,low,no_sites,medium-high,zero-low,medium-high,zero-low,high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low
2366,zero-low,zero-low,most,most,medium,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,most,some,medium,low,low,no_sites,medium-high,low-medium,zero-low,zero-low,low-medium,zero,some,low,low,low,no_sites,zero-low,low-medium,zero-low,zero-low,low-medium,most,some,medium,low,low,no_sites,high,medium-high,zero-low,zero-low,low-medium
2367,zero-low,high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,some,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,low-medium,some,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,low-medium
2368,medium-high,medium-high,zero,some,high,low,medium,near,high,medium-high,zero-low,zero-low,zero,some,high,low,medium,near,high,medium-high,zero-low,zero-low,medium-high,zero,some,high,low,medium,near,zero-low,medium-high,zero-low,zero-low,low-medium,zero,some,high,low,medium,near,zero-low,medium-high,zero-low,zero-low,low-medium
2369,high,low-medium,zero,some,high,low,medium,no_sites,high,zero-low,low-medium,zero-low,zero,some,high,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high
2370,zero-low,high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
2371,medium-high,high,some,some,low,low,low,no_sites,medium-high,medium-high,zero-low,zero-low,some,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium
2372,high,high,most,most,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,zero,some,high,high,high,near,high,medium-high,low-medium,zero-low,high,zero,some,high,low,high,near,medium-high,low-medium,low-medium,high,high,zero,some,high,high,high,near,high,medium-high,low-medium,zero-low,high
2373,high,low-medium,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,some,high,low,medium,near,medium-high,zero-low,medium-high,high,high,some,some,high,low,medium,near,high,medium-high,low-medium,zero-low,high,some,some,high,low,medium,near,high,medium-high,low-medium,zero-low,high
2374,low-medium,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,some,some,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low
2375,medium-high,high,zero,some,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
2376,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium
2377,zero-low,zero-low,some,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,some,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,low-medium,some,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,low-medium,some,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,zero-low
2378,zero-low,high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
2379,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,low-medium
2380,high,zero-low,some,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,high,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
2381,zero-low,zero-low,some,some,high,high,high,near,high,medium-high,low-medium,zero-low,some,some,high,low,high,near,low-medium,low-medium,medium-high,high,medium-high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium
2382,low-medium,low-medium,most,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,most,some,medium,low,high,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium,most,some,medium,low,high,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium,most,some,medium,low,high,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium
2383,high,high,some,some,high,low,medium,no_sites,high,zero-low,low-medium,zero-low,some,some,high,low,medium,far,high,zero-low,low-medium,zero-low,medium-high,zero,some,low,low,low,no_sites,medium-high,low-medium,zero-low,zero-low,high,zero,some,low,low,low,no_sites,medium-high,medium-high,zero-low,zero-low,high
2384,medium-high,low-medium,most,some,medium,low,high,no_sites,medium-high,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,medium-high
2385,high,high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
2386,high,high,most,some,high,low,medium,near,high,medium-high,zero-low,zero-low,most,some,high,low,medium,far,high,medium-high,low-medium,zero-low,low-medium,most,some,high,low,medium,near,high,medium-high,low-medium,zero-low,low-medium,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high
2387,low-medium,zero-low,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,zero,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,high,some,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,medium-high
2388,medium-high,low-medium,most,some,high,low,high,near,low-medium,low-medium,low-medium,high,most,some,high,low,high,near,low-medium,low-medium,medium-high,high,zero-low,most,some,high,low,high,near,medium-high,zero-low,medium-high,high,zero-low,most,some,high,low,high,near,medium-high,zero-low,medium-high,high,zero-low
2389,low-medium,high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
2390,zero-low,low-medium,zero,some,high,low,high,near,low-medium,low-medium,low-medium,high,most,zero,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,most,zero,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,zero,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low
2391,high,medium-high,most,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,some,some,low,low,low,no_sites,zero-low,low-medium,zero-low,zero-low,high,some,some,low,low,low,no_sites,zero-low,low-medium,zero-low,zero-low,high,some,some,low,low,low,no_sites,zero-low,medium-high,zero-low,zero-low,high
2392,low-medium,high,zero,most,medium,low,low,no_sites,zero-low,low-medium,medium-high,zero-low,zero,most,medium,low,low,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,zero,most,medium,low,low,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,zero,most,medium,low,low,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
2393,low-medium,zero-low,most,some,medium,low,high,far,medium-high,zero-low,low-medium,zero-low,some,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high
2394,medium-high,medium-high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero,some,low,low,low,no_sites,medium-high,zero-low,low-medium,zero-low,high,zero,zero,high,low,high,near,medium-high,low-medium,low-medium,high,high,zero,some,low,low,low,no_sites,high,low-medium,low-medium,zero-low,high
2395,medium-high,medium-high,some,some,low,low,high,no_sites,zero-low,medium-high,low-medium,zero-low,zero,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high
2396,medium-high,zero-low,some,some,medium,low,high,near,zero-low,medium-high,low-medium,zero-low,zero,some,medium,low,high,far,medium-high,zero-low,medium-high,zero-low,medium-high,some,some,medium,low,high,near,medium-high,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high
2397,zero-low,zero-low,most,some,high,high,high,near,high,medium-high,zero-low,zero-low,most,most,high,low,high,near,high,medium-high,low-medium,zero-low,medium-high,some,zero,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,zero,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,high
2398,medium-high,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,medium-high,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,zero-low,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
2399,medium-high,low-medium,zero,some,high,low,high,far,high,medium-high,zero-low,zero-low,zero,some,high,low,high,near,medium-high,medium-high,zero-low,zero-low,medium-high,zero,some,high,low,high,near,low-medium,medium-high,low-medium,zero-low,medium-high,most,some,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,high
2400,zero-low,medium-high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,zero,some,high,high,high,near,high,medium-high,low-medium,zero-low,high,some,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,low-medium
2401,high,low-medium,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,high,some,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,high,some,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,high
2402,low-medium,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium
2403,zero-low,zero-low,most,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,most,most,high,low,high,near,low-medium,low-medium,low-medium,zero-low,low-medium,most,most,high,low,high,near,zero-low,low-medium,low-medium,zero-low,zero-low,most,most,high,low,high,near,low-medium,medium-high,low-medium,zero-low,low-medium
2404,high,medium-high,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium
2405,medium-high,high,some,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high
2406,low-medium,zero-low,some,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,zero,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,zero-low,zero,some,low,low,low,no_sites,high,medium-high,low-medium,zero-low,medium-high,zero,zero,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,high
2407,zero-low,zero-low,zero,some,high,low,medium,near,high,medium-high,zero-low,zero-low,zero,most,high,low,medium,near,medium-high,low-medium,medium-high,high,medium-high,zero,some,high,low,medium,near,low-medium,medium-high,zero-low,zero-low,medium-high,zero,most,high,low,medium,near,medium-high,low-medium,low-medium,low-medium,medium-high
2408,medium-high,high,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,some,some,low,low,high,no_sites,zero-low,medium-high,zero-low,zero-low,medium-high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,some,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,low-medium
2409,high,medium-high,most,some,medium,low,high,far,high,medium-high,zero-low,zero-low,zero,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,high,zero,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,high,zero,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,high
2410,high,high,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero,some,high,low,high,near,high,medium-high,low-medium,zero-low,high,some,some,high,low,high,near,high,medium-high,low-medium,zero-low,high,zero,some,high,low,high,near,high,medium-high,low-medium,zero-low,high
2411,zero-low,high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
2412,zero-low,medium-high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
2413,medium-high,low-medium,some,some,high,low,high,near,high,medium-high,zero-low,zero-low,some,some,medium,low,high,near,high,zero-low,low-medium,zero-low,low-medium,some,some,medium,low,high,near,high,low-medium,zero-low,zero-low,low-medium,some,some,medium,low,high,near,high,zero-low,low-medium,zero-low,low-medium
