,t0_rog,t0_entropy_step,t0_contact_locs,t0_known_locs,t0_wind_instensity,t0_prop_damaged_buildings,t0_rain_intensity,t0_dist2_DTMsites,t0_dist2_mainroads,t0_dist2_urbancentres,t0_popdensity3km_2015,t0_DTM_IDPpop,t1_contact_locs,t1_known_locs,t1_wind_instensity,t1_prop_damaged_buildings,t1_rain_intensity,t1_dist2_DTMsites,t1_dist2_mainroads,t1_dist2_urbancentres,t1_popdensity3km_2015,t1_DTM_IDPpop,t1_dist_to_hl,t2_contact_locs,t2_known_locs,t2_wind_instensity,t2_prop_damaged_buildings,t2_rain_intensity,t2_dist2_DTMsites,t2_dist2_mainroads,t2_dist2_urbancentres,t2_popdensity3km_2015,t2_DTM_IDPpop,t2_dist_to_hl,t3_contact_locs,t3_known_locs,t3_wind_instensity,t3_prop_damaged_buildings,t3_rain_intensity,t3_dist2_DTMsites,t3_dist2_mainroads,t3_dist2_urbancentres,t3_popdensity3km_2015,t3_DTM_IDPpop,t3_dist_to_hl
72,low-medium,low-medium,some,most,medium,low,high,far,medium-high,zero-low,low-medium,zero-low,some,most,medium,low,high,far,low-medium,zero-low,medium-high,zero-low,zero-low,some,some,medium,low,high,near,high,low-medium,zero-low,zero-low,medium-high,zero,some,medium,low,high,far,high,medium-high,zero-low,zero-low,medium-high
73,low-medium,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
74,zero-low,zero-low,most,some,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,most,some,high,low,medium,near,medium-high,medium-high,low-medium,zero-low,zero-low,zero,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,medium-high,zero,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,medium-high
75,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
76,low-medium,low-medium,some,most,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,some,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,medium-high,some,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,medium-high,some,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,medium-high
77,medium-high,low-medium,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,some,some,high,low,high,far,high,medium-high,low-medium,zero-low,medium-high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,zero-low,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,zero-low
78,high,high,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,some,high,low,medium,near,medium-high,low-medium,medium-high,high,high,zero,some,high,low,medium,near,medium-high,low-medium,low-medium,high,high,zero,some,high,low,medium,near,high,low-medium,low-medium,high,high
79,zero-low,low-medium,most,most,high,high,high,near,high,medium-high,zero-low,zero-low,most,most,high,low,high,near,high,medium-high,low-medium,zero-low,medium-high,most,most,high,low,high,near,high,medium-high,low-medium,zero-low,low-medium,most,most,high,low,high,near,high,medium-high,low-medium,zero-low,low-medium
80,medium-high,high,some,some,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,some,some,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,medium-high,some,some,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,medium-high,some,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,medium-high
81,zero-low,zero-low,most,most,high,low,high,far,zero-low,zero-low,low-medium,zero-low,most,most,high,low,high,far,zero-low,low-medium,low-medium,zero-low,low-medium,zero,zero,medium,low,high,far,high,medium-high,zero-low,zero-low,medium-high,zero,zero,medium,low,high,far,high,medium-high,zero-low,zero-low,medium-high
